Owner,Repo,Description,URL,Language,Stars,Open Issues Count,Created At,Updated At,Size,Has Downloads,YML Count,YML Files
AtsushiSakai,AtsushiSakai/PythonRobotics,Python sample codes for robotics algorithms.,https://github.com/AtsushiSakai/PythonRobotics,Python,21059,14,2016-03-21T09:34:43Z,2024-02-18T18:26:29Z,302260,True,6,"Linux_CI.yml, MacOS_CI.yml, Windows_CI.yml, circleci-artifacts-redirector.yml, codeql.yml, gh-pages.yml"
arendst,arendst/Tasmota,"Alternative firmware for ESP8266 and ESP32 based devices with easy configuration using webUI, OTA updates, automation using timers or rules, expandability and entirely local control over MQTT, HTTP, Serial or KNX. Full documentation at",https://github.com/arendst/Tasmota,C,21057,12,2017-01-28T13:37:08Z,2024-02-18T17:13:52Z,196316,True,5,"Tasmota_build_devel.yml, Tasmota_build_master.yml, build_all_the_things.yml, copy_change.yml, stale-actions.yml"
wailsapp,wailsapp/wails,Create beautiful applications using Go,https://github.com/wailsapp/wails,Go,21055,252,2018-12-15T23:14:06Z,2024-02-18T18:30:18Z,115237,True,8,"build-and-test.yml, generate-sponsor-image.yml, pr.yml, projects.yml, runtime.yml, semgrep.yml, sync-translated-documents.yml, upload-source-documents.yml"
jitsi,jitsi/jitsi-meet,"Jitsi Meet - Secure, Simple and Scalable Video Conferences that you use as a standalone app or embed in your web application.",https://github.com/jitsi/jitsi-meet,TypeScript,21054,156,2013-12-16T12:51:09Z,2024-02-18T18:17:13Z,267680,True,3,"ci-lua.yml, ci.yml, stale.yml"
notepad-plus-plus,notepad-plus-plus/notepad-plus-plus,Notepad++ official repository,https://github.com/notepad-plus-plus/notepad-plus-plus,C++,21038,2259,2015-03-28T00:05:08Z,2024-02-18T18:11:36Z,243612,True,1,CI_build.yml
paularmstrong,paularmstrong/normalizr,Normalizes nested JSON according to a schema,https://github.com/paularmstrong/normalizr,JavaScript,20982,22,2014-08-20T08:41:38Z,2024-02-17T23:22:42Z,2471,True,1,close-pull-request.yml
Swordfish90,Swordfish90/cool-retro-term,A good looking terminal emulator which mimics the old cathode display...,https://github.com/Swordfish90/cool-retro-term,QML,20946,461,2013-11-22T09:59:57Z,2024-02-18T18:15:49Z,17738,True,1,appimage.yml
quii,quii/learn-go-with-tests,Learn Go with test-driven development,https://github.com/quii/learn-go-with-tests,Go,20930,52,2018-03-02T11:41:14Z,2024-02-18T17:31:46Z,9297,True,1,go.yml
containers,containers/podman,Podman: A tool for managing OCI containers and pods.,https://github.com/containers/podman,Go,20920,627,2017-11-01T15:01:27Z,2024-02-18T18:29:58Z,134450,True,11,"check_cirrus_cron.yml, discussion_lock.yml, fcos-podman-next-build-prepush-test.yml, fcos-podman-next-build.yml, issue-labeler.yml, labeler.yml, mac-pkg.yml, pr-title.yml, rerun_cirrus_cron.yml, stale.yml, upload-win-installer.yml"
osquery,osquery/osquery,"SQL powered operating system instrumentation, monitoring, and analytics.",https://github.com/osquery/osquery,C++,20919,622,2014-07-29T20:27:33Z,2024-02-18T11:19:23Z,25913,True,4,"cleanup_ec2_runners.yml, cve_scan_runner.yml, hosted_runners.yml, self_hosted_runners.yml"
microsoft,microsoft/vcpkg,"C++ Library Manager for Windows, Linux, and MacOS",https://github.com/microsoft/vcpkg,CMake,20917,1243,2016-09-15T16:40:50Z,2024-02-18T16:05:12Z,69564,True,3,"check_issues.yml, stale.yml, untrustedPR.yml"
d2l-ai,d2l-ai/d2l-en,"Interactive deep learning book with multi-framework code, math, and discussions. Adopted at 500 universities from 70 countries including Stanford, MIT, Harvard, and Cambridge.",https://github.com/d2l-ai/d2l-en,Python,20890,113,2018-10-09T01:04:37Z,2024-02-18T16:21:45Z,317887,True,3,"build-docker.yml, ci.yml, clear-cache.yml"
luong-komorebi,luong-komorebi/Awesome-Linux-Software,🐧 A list of awesome Linux softwares ,https://github.com/luong-komorebi/Awesome-Linux-Software,Python,20813,25,2016-08-06T13:16:29Z,2024-02-18T17:18:41Z,6472,True,1,action.yml
websockets,websockets/ws,"Simple to use, blazing fast and thoroughly tested WebSocket client and server for Node.js",https://github.com/websockets/ws,JavaScript,20793,5,2011-11-09T22:32:45Z,2024-02-18T16:23:57Z,11320,True,1,ci.yml
gorilla,gorilla/websocket,"Package gorilla/websocket is a fast, well-tested and widely used WebSocket implementation for Go.",https://github.com/gorilla/websocket,Go,20773,54,2013-10-16T16:41:46Z,2024-02-18T18:05:24Z,537,True,4,"issues.yml, security.yml, test.yml, verify.yml"
valyala,valyala/fasthttp,Fast HTTP package for Go. Tuned for high performance. Zero memory allocations in hot paths. Up to 10x faster than net/http,https://github.com/valyala/fasthttp,Go,20744,82,2015-10-18T22:19:57Z,2024-02-18T16:31:33Z,3154,True,4,"cifuzz.yml, lint.yml, security.yml, test.yml"
Seldaek,Seldaek/monolog,"Sends your logs to files, sockets, inboxes, databases and various web services",https://github.com/Seldaek/monolog,PHP,20710,39,2011-02-17T02:07:15Z,2024-02-18T10:09:36Z,4640,True,3,"continuous-integration.yml, lint.yml, phpstan.yml"
apache,apache/mxnet,"Lightweight, Portable, Flexible Distributed/Mobile Deep Learning with Dynamic, Mutation-aware Dataflow Dep Scheduler; for Python, R, Julia, Scala, Go, Javascript and more",https://github.com/apache/mxnet,C++,20690,2010,2015-04-30T16:21:15Z,2024-02-18T11:39:19Z,101275,True,5,"greetings.yml, license_check.yml, link_check.yml, os_x_mklbuild.yml, os_x_staticbuild.yml"
processing,processing/p5.js,"p5.js is a client-side JS platform that empowers artists, designers, students, and anyone to learn to code and express themselves creatively on the web. It is based on the core principles of Processing. http://twitter.com/p5xjs —",https://github.com/processing/p5.js,JavaScript,20643,300,2013-02-26T03:14:47Z,2024-02-18T16:48:44Z,90473,True,5,"ci-lint.yml, ci-test.yml, labeler.yml, release.yml, update-p5jswebsite.yml"
typicode,typicode/lowdb,Simple and fast JSON database,https://github.com/typicode/lowdb,JavaScript,20599,0,2014-04-02T02:16:06Z,2024-02-18T09:42:01Z,1402,True,1,node.js.yml
parse-community,parse-community/parse-server,Parse Server for Node.js / Express,https://github.com/parse-community/parse-server,JavaScript,20567,463,2016-01-28T18:29:14Z,2024-02-18T14:07:04Z,38326,True,4,"ci-automated-check-environment.yml, ci.yml, release-automated.yml, release-manual-docker.yml"
avajs,avajs/ava,Node.js test runner that lets you develop with confidence 🚀,https://github.com/avajs/ava,JavaScript,20560,54,2014-11-18T17:20:26Z,2024-02-18T15:29:22Z,14106,True,1,ci.yml
uber-go,uber-go/zap,"Blazing fast, structured, leveled logging in Go.",https://github.com/uber-go/zap,Go,20547,144,2016-02-18T19:52:56Z,2024-02-18T15:20:57Z,1640,True,2,"fossa.yaml, go.yml"
Anuken,Anuken/Mindustry,The automation tower defense RTS,https://github.com/Anuken/Mindustry,Java,20545,185,2017-04-30T01:24:29Z,2024-02-18T18:18:01Z,1833753,True,3,"deployment.yml, pr.yml, push.yml"
fingerprintjs,fingerprintjs/fingerprintjs,"Browser fingerprinting library. Accuracy of this version is 40-60%, accuracy of the commercial Fingerprint Identification is 99.5%. V4 of this library is BSL licensed.",https://github.com/fingerprintjs/fingerprintjs,TypeScript,20527,19,2015-02-11T08:49:54Z,2024-02-18T14:22:08Z,2794,True,4,"check_upcoming_browser_versions.yml, codeql_analysis.yml, demo.yml, test.yml"
hapijs,hapijs/joi,The most powerful data validation library for JS,https://github.com/hapijs/joi,JavaScript,20489,165,2012-09-16T16:38:06Z,2024-02-18T13:47:48Z,10232,True,1,ci-module.yml
GoogleChromeLabs,GoogleChromeLabs/squoosh,"Make images smaller using best-in-class codecs, right in the browser.",https://github.com/GoogleChromeLabs/squoosh,TypeScript,20486,206,2018-03-07T22:42:03Z,2024-02-18T17:38:40Z,145973,True,1,node.js.yml
the1812,the1812/Bilibili-Evolved,强大的哔哩哔哩增强脚本,https://github.com/the1812/Bilibili-Evolved,TypeScript,20471,395,2018-07-16T07:48:06Z,2024-02-18T16:21:17Z,303528,True,2,"build.yml, pull-request-check.yml"
seaweedfs,seaweedfs/seaweedfs,"SeaweedFS is a fast distributed storage system for blobs, objects, files, and data lake, for billions of files! Blob store has O(1) disk seek, cloud tiering. Filer supports Cloud Drive, cross-DC active-active replication, Kubernetes, POSIX FUSE mount, S3 API, S3 Gateway, Hadoop, WebDAV, encryption, Erasure Coding.",https://github.com/seaweedfs/seaweedfs,Go,20455,325,2014-07-14T16:41:37Z,2024-02-18T17:02:36Z,55035,True,19,"binaries_dev.yml, binaries_release0.yml, binaries_release1.yml, binaries_release2.yml, binaries_release3.yml, binaries_release4.yml, codeql.yml, container_dev.yml, container_latest.yml, container_release1.yml, container_release2.yml, container_release3.yml, container_release4.yml, container_release5.yml, depsreview.yml, e2e.yml, go.yml, helm_chart_release.yml, helm_ci.yml"
Homebrew,Homebrew/homebrew-cask,🍻 A CLI workflow for the administration of macOS applications distributed as binaries,https://github.com/Homebrew/homebrew-cask,Ruby,20405,31,2012-03-05T02:05:17Z,2024-02-18T16:03:11Z,346907,True,12,"autobump.yml, automerge.yml, bump-unversioned-casks.yml, cache.yml, ci.yml, dispatch-command.yml, rebase.yml, rerun-workflow.yml, sync-labels.yml, sync-templates-and-ci-config.yml, triage-issues.yml, triage.yml"
monicahq,monicahq/monica,"Personal CRM. Remember everything about your friends, family and business relationships.",https://github.com/monicahq/monica,PHP,20383,680,2017-02-17T00:02:58Z,2024-02-18T05:30:36Z,145389,True,8,"docker.yml, lint.yml, lock.yml, push.yml, release.yml, semantic.yml, static_analysis.yml, tests.yml"
phoenixframework,phoenixframework/phoenix,Peace of mind from prototype to production,https://github.com/phoenixframework/phoenix,Elixir,20375,31,2014-01-20T14:14:11Z,2024-02-18T10:48:30Z,21409,True,1,ci.yml
cloudreve,cloudreve/Cloudreve,"🌩支持多家云存储的云盘系统 (Self-hosted file management and sharing system, supports multiple storage providers)",https://github.com/cloudreve/Cloudreve,Go,20361,212,2018-02-04T04:56:38Z,2024-02-18T14:35:10Z,7654,True,3,"build.yml, docker-release.yml, test.yml"
dotnet,dotnet/core,".NET news, announcements, release notes, and more!",https://github.com/dotnet/core,PowerShell,20350,342,2014-11-18T00:44:57Z,2024-02-18T18:15:35Z,29558,True,3,"markdown-link-check.yml, no-response.yml, super-linter.yml"
PHPMailer,PHPMailer/PHPMailer,The classic email sending library for PHP,https://github.com/PHPMailer/PHPMailer,PHP,20328,51,2011-08-23T07:57:17Z,2024-02-18T11:08:18Z,17947,True,3,"docs.yaml, scorecards.yml, tests.yml"
apache,apache/rocketmq,"Apache RocketMQ is a cloud native messaging and streaming platform, making it simple to build event-driven applications.",https://github.com/apache/rocketmq,Java,20292,450,2016-11-30T08:00:08Z,2024-02-18T15:04:32Z,40498,True,11,"bazel.yml, codeql_analysis.yml, coverage.yml, license-checker.yaml, maven.yaml, misspell_check.yml, pr-ci.yml, pr-e2e-test.yml, push-ci.yml, snapshot-automation.yml, stale.yml"
basarat,basarat/typescript-book,:books: The definitive guide to TypeScript and possibly the best TypeScript book :book:. Free and Open Source 🌹,https://github.com/basarat/typescript-book,TypeScript,20265,148,2015-03-21T07:01:38Z,2024-02-18T17:05:32Z,8705,True,1,build.yml
react-dnd,react-dnd/react-dnd,Drag and Drop for React,https://github.com/react-dnd/react-dnd,TypeScript,20261,432,2014-10-19T13:29:28Z,2024-02-18T15:22:10Z,593055,True,4,"ci.yml, docsite.yml, fix-dependabot.yml, version-check.yml"
pubkey,pubkey/rxdb,"A fast, local first, reactive Database for JavaScript Applications https://rxdb.info/",https://github.com/pubkey/rxdb,TypeScript,20226,7,2016-12-02T19:34:42Z,2024-02-18T09:29:33Z,226713,True,4,"build.yml, main.yml, prevent-commit-to-generated.yml, release.yml"
svg,svg/svgo,⚙️ Node.js tool for optimizing SVG files,https://github.com/svg/svgo,JavaScript,20153,231,2012-08-22T10:41:43Z,2024-02-18T07:58:59Z,5363,True,1,main.yml
plotly,plotly/dash,Data Apps & Dashboards for Python. No JavaScript Required.,https://github.com/plotly/dash,Python,20133,826,2015-04-10T01:53:08Z,2024-02-18T17:32:51Z,158490,True,1,update-html.yml
enzymejs,enzymejs/enzyme,JavaScript Testing utilities for React,https://github.com/enzymejs/enzyme,JavaScript,19989,284,2015-11-10T21:45:38Z,2024-02-18T06:52:19Z,7948,True,4,"node-pretest.yml, node.yml, rebase.yml, require-allow-edits.yml"
mindsdb,mindsdb/mindsdb,"The middleware for building custom AI, enabling smarter organizations.",https://github.com/mindsdb/mindsdb,Python,19968,441,2018-08-02T17:56:45Z,2024-02-18T18:29:35Z,256015,True,9,"acceptance_tests.yml, add_to_pr_review.yml, add_to_roadmap_project_v2.yml, cla.yml, code_checks.yml, deploy-dev.yml, deploy-staging.yml, mindsdb.yml, release.yml"
